"grid_size_degrees","species_a","species_b","cells_a","cells_b","shared_cells","jaccard_overlap","overlap_coefficient"
0.5,"Litoria peronii","Crinia glauerti",278,27,0,0,0
0.5,"Litoria peronii","Adelotus brevis",278,50,39,0.134948096885813,0.78
0.5,"Litoria peronii","Litoria quiritatus",278,38,37,0.132616487455197,0.973684210526316
0.5,"Litoria peronii","Litoria pyrina",278,111,40,0.114613180515759,0.36036036036036
0.5,"Litoria peronii","Litoria gracilenta",278,75,40,0.12779552715655,0.533333333333333
0.5,"Litoria peronii","Crinia parinsignifera",278,201,159,0.496875,0.791044776119403
0.5,"Litoria peronii","Litoria moorei",278,55,0,0,0
0.5,"Litoria peronii","Litoria verreauxii",278,105,86,0.28956228956229,0.819047619047619
0.5,"Litoria peronii","Crinia georgiana",278,33,0,0,0
0.5,"Litoria peronii","Litoria infrafrenata",278,23,0,0,0
0.5,"Limnodynastes tasmaniensis","Litoria caerulea",433,275,140,0.246478873239437,0.509090909090909
0.5,"Limnodynastes tasmaniensis","Litoria ewingii",433,116,62,0.127310061601643,0.53448275862069
0.5,"Limnodynastes tasmaniensis","Limnodynastes dumerilii",433,243,189,0.388090349075975,0.777777777777778
0.5,"Limnodynastes tasmaniensis","Crinia glauerti",433,27,0,0,0
0.5,"Limnodynastes tasmaniensis","Adelotus brevis",433,50,38,0.0853932584269663,0.76
0.5,"Limnodynastes tasmaniensis","Litoria quiritatus",433,38,31,0.0704545454545455,0.815789473684211
0.5,"Limnodynastes tasmaniensis","Litoria pyrina",433,111,52,0.105691056910569,0.468468468468468
0.5,"Limnodynastes tasmaniensis","Litoria gracilenta",433,75,44,0.0948275862068965,0.586666666666667
0.5,"Limnodynastes tasmaniensis","Crinia parinsignifera",433,201,185,0.412026726057906,0.920398009950249
0.5,"Limnodynastes tasmaniensis","Litoria moorei",433,55,0,0,0
0.5,"Limnodynastes tasmaniensis","Litoria verreauxii",433,105,90,0.200892857142857,0.857142857142857
0.5,"Limnodynastes tasmaniensis","Crinia georgiana",433,33,0,0,0
0.5,"Limnodynastes tasmaniensis","Litoria infrafrenata",433,23,1,0.0021978021978022,0.0434782608695652
0.5,"Litoria caerulea","Litoria ewingii",275,116,1,0.00256410256410256,0.00862068965517241
0.5,"Litoria caerulea","Limnodynastes dumerilii",275,243,35,0.072463768115942,0.1440329218107
0.5,"Litoria caerulea","Crinia glauerti",275,27,0,0,0
0.5,"Litoria caerulea","Adelotus brevis",275,50,48,0.173285198555957,0.96
0.5,"Litoria caerulea","Litoria quiritatus",275,38,22,0.0756013745704467,0.578947368421053
0.5,"Litoria caerulea","Litoria pyrina",275,111,93,0.31740614334471,0.837837837837838
0.5,"Litoria caerulea","Litoria gracilenta",275,75,71,0.254480286738351,0.946666666666667
0.5,"Litoria caerulea","Crinia parinsignifera",275,201,81,0.205063291139241,0.402985074626866
0.5,"Litoria caerulea","Litoria moorei",275,55,1,0.00303951367781155,0.0181818181818182
0.5,"Litoria caerulea","Litoria verreauxii",275,105,40,0.117647058823529,0.380952380952381
0.5,"Litoria caerulea","Crinia georgiana",275,33,0,0,0
0.5,"Litoria caerulea","Litoria infrafrenata",275,23,17,0.0604982206405694,0.739130434782609
0.5,"Litoria ewingii","Limnodynastes dumerilii",116,243,84,0.305454545454545,0.724137931034483
0.5,"Litoria ewingii","Crinia glauerti",116,27,0,0,0
0.5,"Litoria ewingii","Adelotus brevis",116,50,0,0,0
0.5,"Litoria ewingii","Litoria quiritatus",116,38,7,0.0476190476190476,0.184210526315789
0.5,"Litoria ewingii","Litoria pyrina",116,111,0,0,0
0.5,"Litoria ewingii","Litoria gracilenta",116,75,0,0,0
0.5,"Litoria ewingii","Crinia parinsignifera",116,201,20,0.0673400673400673,0.172413793103448
0.5,"Litoria ewingii","Litoria moorei",116,55,0,0,0
0.5,"Litoria ewingii","Litoria verreauxii",116,105,33,0.175531914893617,0.314285714285714
0.5,"Litoria ewingii","Crinia georgiana",116,33,0,0,0
0.5,"Litoria ewingii","Litoria infrafrenata",116,23,0,0,0
0.5,"Limnodynastes dumerilii","Crinia glauerti",243,27,0,0,0
0.5,"Limnodynastes dumerilii","Adelotus brevis",243,50,5,0.0173611111111111,0.1
0.5,"Limnodynastes dumerilii","Litoria quiritatus",243,38,16,0.060377358490566,0.421052631578947
0.5,"Limnodynastes dumerilii","Litoria pyrina",243,111,3,0.00854700854700855,0.027027027027027
0.5,"Limnodynastes dumerilii","Litoria gracilenta",243,75,2,0.00632911392405063,0.0266666666666667
0.5,"Limnodynastes dumerilii","Crinia parinsignifera",243,201,98,0.283236994219653,0.487562189054726
0.5,"Limnodynastes dumerilii","Litoria moorei",243,55,0,0,0
0.5,"Limnodynastes dumerilii","Litoria verreauxii",243,105,69,0.247311827956989,0.657142857142857
0.5,"Limnodynastes dumerilii","Crinia georgiana",243,33,0,0,0
0.5,"Limnodynastes dumerilii","Litoria infrafrenata",243,23,0,0,0
0.5,"Crinia glauerti","Adelotus brevis",27,50,0,0,0
0.5,"Crinia glauerti","Litoria quiritatus",27,38,0,0,0
0.5,"Crinia glauerti","Litoria pyrina",27,111,0,0,0
0.5,"Crinia glauerti","Litoria gracilenta",27,75,0,0,0
0.5,"Crinia glauerti","Crinia parinsignifera",27,201,0,0,0
0.5,"Crinia glauerti","Litoria moorei",27,55,25,0.43859649122807,0.925925925925926
0.5,"Crinia glauerti","Litoria verreauxii",27,105,0,0,0
0.5,"Crinia glauerti","Crinia georgiana",27,33,25,0.714285714285714,0.925925925925926
0.5,"Crinia glauerti","Litoria infrafrenata",27,23,0,0,0
0.5,"Adelotus brevis","Litoria quiritatus",50,38,10,0.128205128205128,0.263157894736842
0.5,"Adelotus brevis","Litoria pyrina",50,111,23,0.166666666666667,0.46
0.5,"Adelotus brevis","Litoria gracilenta",50,75,39,0.453488372093023,0.78
0.5,"Adelotus brevis","Crinia parinsignifera",50,201,26,0.115555555555556,0.52
0.5,"Adelotus brevis","Litoria moorei",50,55,0,0,0
0.5,"Adelotus brevis","Litoria verreauxii",50,105,24,0.183206106870229,0.48
0.5,"Adelotus brevis","Crinia georgiana",50,33,0,0,0
0.5,"Adelotus brevis","Litoria infrafrenata",50,23,0,0,0
0.5,"Litoria quiritatus","Litoria pyrina",38,111,0,0,0
0.5,"Litoria quiritatus","Litoria gracilenta",38,75,7,0.0660377358490566,0.184210526315789
0.5,"Litoria quiritatus","Crinia parinsignifera",38,201,12,0.052863436123348,0.315789473684211
0.5,"Litoria quiritatus","Litoria moorei",38,55,0,0,0
0.5,"Litoria quiritatus","Litoria verreauxii",38,105,31,0.276785714285714,0.815789473684211
0.5,"Litoria quiritatus","Crinia georgiana",38,33,0,0,0
0.5,"Litoria quiritatus","Litoria infrafrenata",38,23,0,0,0
0.5,"Litoria pyrina","Litoria gracilenta",111,75,53,0.398496240601504,0.706666666666667
0.5,"Litoria pyrina","Crinia parinsignifera",111,201,33,0.118279569892473,0.297297297297297
0.5,"Litoria pyrina","Litoria moorei",111,55,0,0,0
0.5,"Litoria pyrina","Litoria verreauxii",111,105,13,0.0640394088669951,0.123809523809524
0.5,"Litoria pyrina","Crinia georgiana",111,33,0,0,0
0.5,"Litoria pyrina","Litoria infrafrenata",111,23,16,0.135593220338983,0.695652173913043
0.5,"Litoria gracilenta","Crinia parinsignifera",75,201,27,0.108433734939759,0.36
0.5,"Litoria gracilenta","Litoria moorei",75,55,0,0,0
0.5,"Litoria gracilenta","Litoria verreauxii",75,105,17,0.104294478527607,0.226666666666667
0.5,"Litoria gracilenta","Crinia georgiana",75,33,0,0,0
0.5,"Litoria gracilenta","Litoria infrafrenata",75,23,14,0.166666666666667,0.608695652173913
0.5,"Crinia parinsignifera","Litoria moorei",201,55,0,0,0
0.5,"Crinia parinsignifera","Litoria verreauxii",201,105,50,0.1953125,0.476190476190476
0.5,"Crinia parinsignifera","Crinia georgiana",201,33,0,0,0
0.5,"Crinia parinsignifera","Litoria infrafrenata",201,23,0,0,0
0.5,"Litoria moorei","Litoria verreauxii",55,105,0,0,0
0.5,"Litoria moorei","Crinia georgiana",55,33,27,0.442622950819672,0.818181818181818
0.5,"Litoria moorei","Litoria infrafrenata",55,23,0,0,0
0.5,"Litoria verreauxii","Crinia georgiana",105,33,0,0,0
0.5,"Litoria verreauxii","Litoria infrafrenata",105,23,0,0,0
0.5,"Crinia georgiana","Litoria infrafrenata",33,23,0,0,0
1,"Crinia signifera","Limnodynastes peronii",117,100,76,0.539007092198582,0.76
1,"Crinia signifera","Litoria fallax",117,62,40,0.287769784172662,0.645161290322581
1,"Crinia signifera","Litoria peronii",117,115,78,0.506493506493506,0.678260869565217
1,"Crinia signifera","Limnodynastes tasmaniensis",117,177,93,0.462686567164179,0.794871794871795
1,"Crinia signifera","Litoria caerulea",117,154,42,0.183406113537118,0.358974358974359
1,"Crinia signifera","Litoria ewingii",117,48,46,0.38655462184874,0.958333333333333
1,"Crinia signifera","Limnodynastes dumerilii",117,94,86,0.688,0.914893617021277
1,"Crinia signifera","Crinia glauerti",117,14,0,0,0
1,"Crinia signifera","Adelotus brevis",117,22,15,0.120967741935484,0.681818181818182
1,"Crinia signifera","Litoria quiritatus",117,17,16,0.135593220338983,0.941176470588235
1,"Crinia signifera","Litoria pyrina",117,53,13,0.0828025477707006,0.245283018867925
1,"Crinia signifera","Litoria gracilenta",117,35,16,0.117647058823529,0.457142857142857
1,"Crinia signifera","Crinia parinsignifera",117,78,56,0.402877697841727,0.717948717948718
1,"Crinia signifera","Litoria moorei",117,26,0,0,0
1,"Crinia signifera","Litoria verreauxii",117,42,42,0.358974358974359,1
1,"Crinia signifera","Crinia georgiana",117,16,0,0,0
1,"Crinia signifera","Litoria infrafrenata",117,13,0,0,0
1,"Limnodynastes peronii","Litoria fallax",100,62,58,0.557692307692308,0.935483870967742
1,"Limnodynastes peronii","Litoria peronii",100,115,71,0.493055555555556,0.71
1,"Limnodynastes peronii","Limnodynastes tasmaniensis",100,177,79,0.398989898989899,0.79
1,"Limnodynastes peronii","Litoria caerulea",100,154,56,0.282828282828283,0.56
1,"Limnodynastes peronii","Litoria ewingii",100,48,29,0.243697478991597,0.604166666666667
1,"Limnodynastes peronii","Limnodynastes dumerilii",100,94,53,0.375886524822695,0.563829787234043
1,"Limnodynastes peronii","Crinia glauerti",100,14,0,0,0
1,"Limnodynastes peronii","Adelotus brevis",100,22,21,0.207920792079208,0.954545454545455
1,"Limnodynastes peronii","Litoria quiritatus",100,17,16,0.158415841584158,0.941176470588235
1,"Limnodynastes peronii","Litoria pyrina",100,53,31,0.254098360655738,0.584905660377358
1,"Limnodynastes peronii","Litoria gracilenta",100,35,34,0.336633663366337,0.971428571428571
1,"Limnodynastes peronii","Crinia parinsignifera",100,78,53,0.424,0.67948717948718
1,"Limnodynastes peronii","Litoria moorei",100,26,0,0,0
1,"Limnodynastes peronii","Litoria verreauxii",100,42,41,0.405940594059406,0.976190476190476
1,"Limnodynastes peronii","Crinia georgiana",100,16,0,0,0
1,"Limnodynastes peronii","Litoria infrafrenata",100,13,6,0.0560747663551402,0.461538461538462
1,"Litoria fallax","Litoria peronii",62,115,45,0.340909090909091,0.725806451612903
1,"Litoria fallax","Limnodynastes tasmaniensis",62,177,50,0.264550264550265,0.806451612903226
1,"Litoria fallax","Litoria caerulea",62,154,51,0.309090909090909,0.82258064516129
1,"Litoria fallax","Litoria ewingii",62,48,8,0.0784313725490196,0.166666666666667
1,"Litoria fallax","Limnodynastes dumerilii",62,94,23,0.172932330827068,0.370967741935484
1,"Litoria fallax","Crinia glauerti",62,14,0,0,0
1,"Litoria fallax","Adelotus brevis",62,22,22,0.354838709677419,1
1,"Litoria fallax","Litoria quiritatus",62,17,13,0.196969696969697,0.764705882352941
1,"Litoria fallax","Litoria pyrina",62,53,30,0.352941176470588,0.566037735849057
1,"Litoria fallax","Litoria gracilenta",62,35,34,0.53968253968254,0.971428571428571
1,"Litoria fallax","Crinia parinsignifera",62,78,33,0.308411214953271,0.532258064516129
1,"Litoria fallax","Litoria moorei",62,26,0,0,0
1,"Litoria fallax","Litoria verreauxii",62,42,28,0.368421052631579,0.666666666666667
1,"Litoria fallax","Crinia georgiana",62,16,0,0,0
1,"Litoria fallax","Litoria infrafrenata",62,13,6,0.0869565217391304,0.461538461538462
1,"Litoria peronii","Limnodynastes tasmaniensis",115,177,108,0.58695652173913,0.939130434782609
1,"Litoria peronii","Litoria caerulea",115,154,61,0.293269230769231,0.530434782608696
1,"Litoria peronii","Litoria ewingii",115,48,23,0.164285714285714,0.479166666666667
1,"Litoria peronii","Limnodynastes dumerilii",115,94,64,0.441379310344828,0.680851063829787
1,"Litoria peronii","Crinia glauerti",115,14,0,0,0
1,"Litoria peronii","Adelotus brevis",115,22,18,0.151260504201681,0.818181818181818
1,"Litoria peronii","Litoria quiritatus",115,17,17,0.147826086956522,1
1,"Litoria peronii","Litoria pyrina",115,53,22,0.150684931506849,0.415094339622642
1,"Litoria peronii","Litoria gracilenta",115,35,20,0.153846153846154,0.571428571428571
1,"Litoria peronii","Crinia parinsignifera",115,78,73,0.608333333333333,0.935897435897436
1,"Litoria peronii","Litoria moorei",115,26,0,0,0
1,"Litoria peronii","Litoria verreauxii",115,42,41,0.353448275862069,0.976190476190476
1,"Litoria peronii","Crinia georgiana",115,16,0,0,0
1,"Litoria peronii","Litoria infrafrenata",115,13,0,0,0
1,"Limnodynastes tasmaniensis","Litoria caerulea",177,154,80,0.318725099601594,0.519480519480519
1,"Limnodynastes tasmaniensis","Litoria ewingii",177,48,30,0.153846153846154,0.625
1,"Limnodynastes tasmaniensis","Limnodynastes dumerilii",177,94,78,0.404145077720207,0.829787234042553
1,"Limnodynastes tasmaniensis","Crinia glauerti",177,14,0,0,0
1,"Limnodynastes tasmaniensis","Adelotus brevis",177,22,20,0.111731843575419,0.909090909090909
1,"Limnodynastes tasmaniensis","Litoria quiritatus",177,17,15,0.0837988826815642,0.882352941176471
1,"Limnodynastes tasmaniensis","Litoria pyrina",177,53,30,0.15,0.566037735849057
1,"Limnodynastes tasmaniensis","Litoria gracilenta",177,35,27,0.145945945945946,0.771428571428571
1,"Limnodynastes tasmaniensis","Crinia parinsignifera",177,78,74,0.408839779005525,0.948717948717949
1,"Limnodynastes tasmaniensis","Litoria moorei",177,26,0,0,0
1,"Limnodynastes tasmaniensis","Litoria verreauxii",177,42,39,0.216666666666667,0.928571428571429
1,"Limnodynastes tasmaniensis","Crinia georgiana",177,16,0,0,0
1,"Limnodynastes tasmaniensis","Litoria infrafrenata",177,13,2,0.0106382978723404,0.153846153846154
1,"Litoria caerulea","Litoria ewingii",154,48,2,0.01,0.0416666666666667
1,"Litoria caerulea","Limnodynastes dumerilii",154,94,25,0.112107623318386,0.265957446808511
1,"Litoria caerulea","Crinia glauerti",154,14,0,0,0
1,"Litoria caerulea","Adelotus brevis",154,22,21,0.135483870967742,0.954545454545455
1,"Litoria caerulea","Litoria quiritatus",154,17,11,0.06875,0.647058823529412
1,"Litoria caerulea","Litoria pyrina",154,53,47,0.29375,0.886792452830189
1,"Litoria caerulea","Litoria gracilenta",154,35,33,0.211538461538462,0.942857142857143
1,"Litoria caerulea","Crinia parinsignifera",154,78,46,0.247311827956989,0.58974358974359
1,"Litoria caerulea","Litoria moorei",154,26,1,0.00558659217877095,0.0384615384615385
1,"Litoria caerulea","Litoria verreauxii",154,42,23,0.132947976878613,0.547619047619048
1,"Litoria caerulea","Crinia georgiana",154,16,0,0,0
1,"Litoria caerulea","Litoria infrafrenata",154,13,10,0.0636942675159236,0.769230769230769
1,"Litoria ewingii","Limnodynastes dumerilii",48,94,40,0.392156862745098,0.833333333333333
1,"Litoria ewingii","Crinia glauerti",48,14,0,0,0
1,"Litoria ewingii","Adelotus brevis",48,22,0,0,0
1,"Litoria ewingii","Litoria quiritatus",48,17,5,0.0833333333333333,0.294117647058824
1,"Litoria ewingii","Litoria pyrina",48,53,0,0,0
1,"Litoria ewingii","Litoria gracilenta",48,35,0,0,0
1,"Litoria ewingii","Crinia parinsignifera",48,78,12,0.105263157894737,0.25
1,"Litoria ewingii","Litoria moorei",48,26,0,0,0
1,"Litoria ewingii","Litoria verreauxii",48,42,17,0.232876712328767,0.404761904761905
1,"Litoria ewingii","Crinia georgiana",48,16,0,0,0
1,"Litoria ewingii","Litoria infrafrenata",48,13,0,0,0
1,"Limnodynastes dumerilii","Crinia glauerti",94,14,0,0,0
1,"Limnodynastes dumerilii","Adelotus brevis",94,22,5,0.045045045045045,0.227272727272727
1,"Limnodynastes dumerilii","Litoria quiritatus",94,17,11,0.11,0.647058823529412
1,"Limnodynastes dumerilii","Litoria pyrina",94,53,4,0.027972027972028,0.0754716981132075
1,"Limnodynastes dumerilii","Litoria gracilenta",94,35,4,0.032,0.114285714285714
1,"Limnodynastes dumerilii","Crinia parinsignifera",94,78,47,0.376,0.602564102564103
1,"Limnodynastes dumerilii","Litoria moorei",94,26,0,0,0
1,"Limnodynastes dumerilii","Litoria verreauxii",94,42,32,0.307692307692308,0.761904761904762
1,"Limnodynastes dumerilii","Crinia georgiana",94,16,0,0,0
1,"Limnodynastes dumerilii","Litoria infrafrenata",94,13,0,0,0
1,"Crinia glauerti","Adelotus brevis",14,22,0,0,0
1,"Crinia glauerti","Litoria quiritatus",14,17,0,0,0
1,"Crinia glauerti","Litoria pyrina",14,53,0,0,0
1,"Crinia glauerti","Litoria gracilenta",14,35,0,0,0
1,"Crinia glauerti","Crinia parinsignifera",14,78,0,0,0
1,"Crinia glauerti","Litoria moorei",14,26,13,0.481481481481481,0.928571428571429
1,"Crinia glauerti","Litoria verreauxii",14,42,0,0,0
1,"Crinia glauerti","Crinia georgiana",14,16,14,0.875,1
1,"Crinia glauerti","Litoria infrafrenata",14,13,0,0,0
1,"Adelotus brevis","Litoria quiritatus",22,17,4,0.114285714285714,0.235294117647059
1,"Adelotus brevis","Litoria pyrina",22,53,12,0.19047619047619,0.545454545454545
1,"Adelotus brevis","Litoria gracilenta",22,35,19,0.5,0.863636363636364
1,"Adelotus brevis","Crinia parinsignifera",22,78,13,0.149425287356322,0.590909090909091
1,"Adelotus brevis","Litoria moorei",22,26,0,0,0
1,"Adelotus brevis","Litoria verreauxii",22,42,12,0.230769230769231,0.545454545454545
1,"Adelotus brevis","Crinia georgiana",22,16,0,0,0
1,"Adelotus brevis","Litoria infrafrenata",22,13,0,0,0
1,"Litoria quiritatus","Litoria pyrina",17,53,0,0,0
1,"Litoria quiritatus","Litoria gracilenta",17,35,3,0.0612244897959184,0.176470588235294
1,"Litoria quiritatus","Crinia parinsignifera",17,78,10,0.117647058823529,0.588235294117647
1,"Litoria quiritatus","Litoria moorei",17,26,0,0,0
1,"Litoria quiritatus","Litoria verreauxii",17,42,15,0.340909090909091,0.882352941176471
1,"Litoria quiritatus","Crinia georgiana",17,16,0,0,0
1,"Litoria quiritatus","Litoria infrafrenata",17,13,0,0,0
1,"Litoria pyrina","Litoria gracilenta",53,35,26,0.419354838709677,0.742857142857143
1,"Litoria pyrina","Crinia parinsignifera",53,78,16,0.139130434782609,0.30188679245283
1,"Litoria pyrina","Litoria moorei",53,26,0,0,0
1,"Litoria pyrina","Litoria verreauxii",53,42,8,0.0919540229885057,0.19047619047619
1,"Litoria pyrina","Crinia georgiana",53,16,0,0,0
1,"Litoria pyrina","Litoria infrafrenata",53,13,8,0.137931034482759,0.615384615384615
1,"Litoria gracilenta","Crinia parinsignifera",35,78,14,0.141414141414141,0.4
1,"Litoria gracilenta","Litoria moorei",35,26,0,0,0
1,"Litoria gracilenta","Litoria verreauxii",35,42,11,0.166666666666667,0.314285714285714
1,"Litoria gracilenta","Crinia georgiana",35,16,0,0,0
1,"Litoria gracilenta","Litoria infrafrenata",35,13,7,0.170731707317073,0.538461538461538
1,"Crinia parinsignifera","Litoria moorei",78,26,0,0,0
1,"Crinia parinsignifera","Litoria verreauxii",78,42,28,0.304347826086957,0.666666666666667
1,"Crinia parinsignifera","Crinia georgiana",78,16,0,0,0
1,"Crinia parinsignifera","Litoria infrafrenata",78,13,0,0,0
1,"Litoria moorei","Litoria verreauxii",26,42,0,0,0
1,"Litoria moorei","Crinia georgiana",26,16,13,0.448275862068966,0.8125
1,"Litoria moorei","Litoria infrafrenata",26,13,0,0,0
1,"Litoria verreauxii","Crinia georgiana",42,16,0,0,0
1,"Litoria verreauxii","Litoria infrafrenata",42,13,0,0,0
1,"Crinia georgiana","Litoria infrafrenata",16,13,0,0,0
