"species","month","month_name","within_species_share"
"Litoria ewingii",6,"Jun",0.141037988228999
"Litoria ewingii",7,"Jul",0.120492241840556
"Litoria ewingii",8,"Aug",0.138897806313537
"Litoria ewingii",9,"Sep",0.0954521134296415
"Litoria ewingii",10,"Oct",0.0741573033707865
"Litoria ewingii",11,"Nov",0.107437132156233
"Litoria ewingii",12,"Dec",0.0255751738897806
"Limnodynastes dumerilii",1,"Jan",0.108678756476684
"Limnodynastes dumerilii",2,"Feb",0.0432642487046632
"Limnodynastes dumerilii",3,"Mar",0.027720207253886
"Limnodynastes dumerilii",4,"Apr",0.00401554404145078
"Limnodynastes dumerilii",5,"May",0.000906735751295337
"Limnodynastes dumerilii",6,"Jun",0.000518134715025907
"Limnodynastes dumerilii",7,"Jul",0.000259067357512953
"Limnodynastes dumerilii",8,"Aug",0.0103626943005181
"Limnodynastes dumerilii",9,"Sep",0.129533678756477
"Limnodynastes dumerilii",10,"Oct",0.246113989637306
"Limnodynastes dumerilii",11,"Nov",0.299352331606218
"Limnodynastes dumerilii",12,"Dec",0.129274611398964
"Crinia glauerti",1,"Jan",0.0523749825881042
"Crinia glauerti",2,"Feb",0.0424850257696058
"Crinia glauerti",3,"Mar",0.0789803593815295
"Crinia glauerti",4,"Apr",0.0938849421925059
"Crinia glauerti",5,"May",0.0717370107257278
"Crinia glauerti",6,"Jun",0.0463852904304221
"Crinia glauerti",7,"Jul",0.0718763058921855
"Crinia glauerti",8,"Aug",0.0919348098620978
"Crinia glauerti",9,"Sep",0.122022565816966
"Crinia glauerti",10,"Oct",0.110321771834517
"Crinia glauerti",11,"Nov",0.145702744114779
"Crinia glauerti",12,"Dec",0.0722941913915587
"Adelotus brevis",1,"Jan",0.104390599380579
"Adelotus brevis",2,"Feb",0.0828930588449626
"Adelotus brevis",3,"Mar",0.0592093277464019
"Adelotus brevis",4,"Apr",0.00236837310985608
"Adelotus brevis",5,"May",0.00728730187648023
"Adelotus brevis",6,"Jun",0.00218619056294407
"Adelotus brevis",7,"Jul",0.0114775004554564
"Adelotus brevis",8,"Aug",0.0905447258152669
"Adelotus brevis",9,"Sep",0.160502823829477
"Adelotus brevis",10,"Oct",0.174530879941702
"Adelotus brevis",11,"Nov",0.201493896884678
"Adelotus brevis",12,"Dec",0.103115321552195
"Litoria quiritatus",1,"Jan",0.230181262284342
"Litoria quiritatus",2,"Feb",0.0993666739462765
"Litoria quiritatus",3,"Mar",0.0104826381305962
"Litoria quiritatus",4,"Apr",0.000218388294387421
"Litoria quiritatus",5,"May",0.000655164883162262
"Litoria quiritatus",6,"Jun",0
"Litoria quiritatus",7,"Jul",0
"Litoria quiritatus",8,"Aug",0.00545970735968552
"Litoria quiritatus",9,"Sep",0.0397466695785106
"Litoria quiritatus",10,"Oct",0.143262721118148
"Litoria quiritatus",11,"Nov",0.280628958287836
"Litoria quiritatus",12,"Dec",0.189997816117056
"Litoria pyrina",1,"Jan",0.140166447656592
"Litoria pyrina",2,"Feb",0.108409986859396
"Litoria pyrina",3,"Mar",0.0613228208497591
"Litoria pyrina",4,"Apr",0.0137976346911958
"Litoria pyrina",5,"May",0.00306614104248795
"Litoria pyrina",6,"Jun",0.000657030223390276
"Litoria pyrina",7,"Jul",0.000438020148926851
"Litoria pyrina",8,"Aug",0.00306614104248795
"Litoria pyrina",9,"Sep",0.0398598335523434
"Litoria pyrina",10,"Oct",0.156154183092422
"Litoria pyrina",11,"Nov",0.29413053000438
"Litoria pyrina",12,"Dec",0.178931230836618
"Litoria gracilenta",1,"Jan",0.194172547234236
"Litoria gracilenta",2,"Feb",0.2358297291145
"Litoria gracilenta",3,"Mar",0.116549055315274
"Litoria gracilenta",4,"Apr",0.0200318688823128
"Litoria gracilenta",5,"May",0.00478033234691555
"Litoria gracilenta",6,"Jun",0.00045526974732529
"Litoria gracilenta",7,"Jul",0.00182107898930116
"Litoria gracilenta",8,"Aug",0.00182107898930116
"Litoria gracilenta",9,"Sep",0.0122922831777828
"Litoria gracilenta",10,"Oct",0.0896881402230822
"Litoria gracilenta",11,"Nov",0.171409059867972
"Litoria gracilenta",12,"Dec",0.151149556111996
"Crinia parinsignifera",1,"Jan",0.0232320653561399
"Crinia parinsignifera",2,"Feb",0.0329333673729895
"Crinia parinsignifera",3,"Mar",0.0449323461833036
"Crinia parinsignifera",4,"Apr",0.04774061781976
"Crinia parinsignifera",5,"May",0.0778657135562931
"Crinia parinsignifera",6,"Jun",0.0456982384477917
"Crinia parinsignifera",7,"Jul",0.14577482767424
"Crinia parinsignifera",8,"Aug",0.224406433495022
"Crinia parinsignifera",9,"Sep",0.126627521062037
"Crinia parinsignifera",10,"Oct",0.0839928516721981
"Crinia parinsignifera",11,"Nov",0.115905029359203
"Crinia parinsignifera",12,"Dec",0.0308909880010212
"Litoria moorei",1,"Jan",0.157306510198379
"Litoria moorei",2,"Feb",0.0259849119865884
"Litoria moorei",3,"Mar",0.00223526124615814
"Litoria moorei",4,"Apr",0
"Litoria moorei",5,"May",0.000279407655769768
"Litoria moorei",6,"Jun",0
"Litoria moorei",7,"Jul",0.00223526124615814
"Litoria moorei",8,"Aug",0.0237496507404303
"Litoria moorei",9,"Sep",0.0922045264040235
"Litoria moorei",10,"Oct",0.142218496786812
"Litoria moorei",11,"Nov",0.340597932383347
"Litoria moorei",12,"Dec",0.213188041352333
"Litoria verreauxii",1,"Jan",0.0389888603256213
"Litoria verreauxii",2,"Feb",0.0364181662382176
"Litoria verreauxii",3,"Mar",0.0878320479862896
"Litoria verreauxii",4,"Apr",0.125535561268209
"Litoria verreauxii",5,"May",0.123393316195373
"Litoria verreauxii",6,"Jun",0.125107112253642
"Litoria verreauxii",7,"Jul",0.122964867180805
"Litoria verreauxii",8,"Aug",0.111825192802057
"Litoria verreauxii",9,"Sep",0.0728363324764353
"Litoria verreauxii",10,"Oct",0.0415595544130248
"Litoria verreauxii",11,"Nov",0.0754070265638389
"Litoria verreauxii",12,"Dec",0.0381319622964867
"Crinia georgiana",1,"Jan",0
"Crinia georgiana",2,"Feb",0
"Crinia georgiana",3,"Mar",0
"Crinia georgiana",4,"Apr",0.00324825986078886
"Crinia georgiana",5,"May",0.0180974477958237
"Crinia georgiana",6,"Jun",0.203248259860789
"Crinia georgiana",7,"Jul",0.337354988399072
"Crinia georgiana",8,"Aug",0.232018561484919
"Crinia georgiana",9,"Sep",0.129930394431555
"Crinia georgiana",10,"Oct",0.0589327146171694
"Crinia georgiana",11,"Nov",0.0162412993039443
"Crinia georgiana",12,"Dec",0.000928074245939675
"Litoria infrafrenata",1,"Jan",0.221912720519963
"Litoria infrafrenata",2,"Feb",0.11188486536676
"Litoria infrafrenata",3,"Mar",0.0752089136490251
"Litoria infrafrenata",4,"Apr",0.0199628597957289
"Litoria infrafrenata",5,"May",0.00928505106778087
"Litoria infrafrenata",6,"Jun",0.00464252553389044
"Litoria infrafrenata",7,"Jul",0
"Litoria infrafrenata",8,"Aug",0.00649953574744661
"Litoria infrafrenata",9,"Sep",0.0185701021355617
"Litoria infrafrenata",10,"Oct",0.0779944289693593
"Litoria infrafrenata",11,"Nov",0.20891364902507
"Litoria infrafrenata",12,"Dec",0.245125348189415
